13:109	2	BLACK_WINS/BLACK_WINS
12:108	1	DRAW_REPETITION/WHITE_WINS
15:111	1	BLACK_WINS/DRAW_REPETITION
14:110	3	DRAW_REPETITION/BLACK_WINS
17:113	0	BLACK_WINS/WHITE_WINS
18:114	3	DRAW_FIFTY_MOVE/BLACK_WINS
16:112	3	DRAW_REPETITION/BLACK_WINS
19:115	2	WHITE_WINS/WHITE_WINS
21:117	0	BLACK_WINS/WHITE_WINS
22:118	4	WHITE_WINS/BLACK_WINS
24:120	1	BLACK_WINS/DRAW_REPETITION
20:116	1	DRAW_FIFTY_MOVE/WHITE_WINS
23:119	1	DRAW_INSUFFICIENT/WHITE_WINS
26:122	2	WHITE_WINS/WHITE_WINS
27:123	4	WHITE_WINS/BLACK_WINS
25:121	2	DRAW_REPETITION/DRAW_FIFTY_MOVE
28:124	4	WHITE_WINS/BLACK_WINS
31:127	2	BLACK_WINS/BLACK_WINS
30:126	4	WHITE_WINS/BLACK_WINS
29:125	2	BLACK_WINS/BLACK_WINS
32:128	2	BLACK_WINS/BLACK_WINS
33:129	2	BLACK_WINS/BLACK_WINS
36:132	2	BLACK_WINS/BLACK_WINS
34:130	2	BLACK_WINS/BLACK_WINS
37:133	4	WHITE_WINS/BLACK_WINS
38:134	2	WHITE_WINS/WHITE_WINS
35:131	2	WHITE_WINS/WHITE_WINS
39:135	4	WHITE_WINS/BLACK_WINS
40:136	1	DRAW_FIFTY_MOVE/WHITE_WINS
43:139	4	WHITE_WINS/BLACK_WINS
41:137	2	BLACK_WINS/BLACK_WINS
42:138	4	WHITE_WINS/BLACK_WINS
45:141	3	WHITE_WINS/DRAW_FIFTY_MOVE
46:142	0	BLACK_WINS/WHITE_WINS
44:140	3	WHITE_WINS/DRAW_FIFTY_MOVE
0:144	4	WHITE_WINS/BLACK_WINS
47:143	3	WHITE_WINS/DRAW_FIFTY_MOVE
2:146	1	DRAW_INSUFFICIENT/WHITE_WINS
1:145	0	BLACK_WINS/WHITE_WINS
3:147	3	DRAW_FIFTY_MOVE/BLACK_WINS
4:148	3	DRAW_FIFTY_MOVE/BLACK_WINS
5:149	0	BLACK_WINS/WHITE_WINS
7:151	2	BLACK_WINS/BLACK_WINS
6:150	4	WHITE_WINS/BLACK_WINS
8:152	2	WHITE_WINS/WHITE_WINS
11:155	2	DRAW_REPETITION/DRAW_REPETITION
10:154	2	BLACK_WINS/BLACK_WINS
9:153	0	BLACK_WINS/WHITE_WINS
13:157	2	BLACK_WINS/BLACK_WINS
15:159	1	BLACK_WINS/DRAW_REPETITION
12:156	1	DRAW_REPETITION/WHITE_WINS
14:158	3	DRAW_REPETITION/BLACK_WINS
16:160	3	DRAW_REPETITION/BLACK_WINS
17:161	0	BLACK_WINS/WHITE_WINS
18:162	3	DRAW_FIFTY_MOVE/BLACK_WINS
19:163	2	WHITE_WINS/WHITE_WINS
21:165	0	BLACK_WINS/WHITE_WINS
22:166	4	WHITE_WINS/BLACK_WINS
24:168	1	BLACK_WINS/DRAW_REPETITION
20:164	1	DRAW_FIFTY_MOVE/WHITE_WINS
23:167	1	DRAW_INSUFFICIENT/WHITE_WINS
26:170	2	WHITE_WINS/WHITE_WINS
25:169	2	DRAW_REPETITION/DRAW_FIFTY_MOVE
27:171	4	WHITE_WINS/BLACK_WINS
28:172	4	WHITE_WINS/BLACK_WINS
31:175	2	BLACK_WINS/BLACK_WINS
30:174	4	WHITE_WINS/BLACK_WINS
29:173	2	BLACK_WINS/BLACK_WINS
32:176	2	BLACK_WINS/BLACK_WINS
33:177	2	BLACK_WINS/BLACK_WINS
34:178	2	BLACK_WINS/BLACK_WINS
36:180	2	BLACK_WINS/BLACK_WINS
37:181	4	WHITE_WINS/BLACK_WINS
35:179	2	WHITE_WINS/WHITE_WINS
38:182	2	WHITE_WINS/WHITE_WINS
39:183	4	WHITE_WINS/BLACK_WINS
40:184	1	DRAW_FIFTY_MOVE/WHITE_WINS
43:187	4	WHITE_WINS/BLACK_WINS
41:185	2	BLACK_WINS/BLACK_WINS
42:186	4	WHITE_WINS/BLACK_WINS
45:189	3	WHITE_WINS/DRAW_FIFTY_MOVE
44:188	3	WHITE_WINS/DRAW_FIFTY_MOVE
0:192	4	WHITE_WINS/BLACK_WINS
46:190	0	BLACK_WINS/WHITE_WINS
47:191	3	WHITE_WINS/DRAW_FIFTY_MOVE
1:193	0	BLACK_WINS/WHITE_WINS
2:194	1	DRAW_INSUFFICIENT/WHITE_WINS
3:195	3	DRAW_FIFTY_MOVE/BLACK_WINS
4:196	3	DRAW_FIFTY_MOVE/BLACK_WINS
5:197	0	BLACK_WINS/WHITE_WINS
7:199	2	BLACK_WINS/BLACK_WINS
6:198	4	WHITE_WINS/BLACK_WINS
8:200	2	WHITE_WINS/WHITE_WINS
11:203	2	DRAW_REPETITION/DRAW_REPETITION
9:201	0	BLACK_WINS/WHITE_WINS
10:202	2	BLACK_WINS/BLACK_WINS
15:207	1	BLACK_WINS/DRAW_REPETITION
13:205	2	BLACK_WINS/BLACK_WINS
12:204	1	DRAW_REPETITION/WHITE_WINS
14:206	3	DRAW_REPETITION/BLACK_WINS
17:209	0	BLACK_WINS/WHITE_WINS
16:208	3	DRAW_REPETITION/BLACK_WINS
18:210	3	DRAW_FIFTY_MOVE/BLACK_WINS
19:211	2	WHITE_WINS/WHITE_WINS
21:213	0	BLACK_WINS/WHITE_WINS
22:214	4	WHITE_WINS/BLACK_WINS
20:212	1	DRAW_FIFTY_MOVE/WHITE_WINS
24:216	1	BLACK_WINS/DRAW_REPETITION
23:215	1	DRAW_INSUFFICIENT/WHITE_WINS
26:218	2	WHITE_WINS/WHITE_WINS
25:217	2	DRAW_REPETITION/DRAW_FIFTY_MOVE
27:219	4	WHITE_WINS/BLACK_WINS
28:220	4	WHITE_WINS/BLACK_WINS
31:223	2	BLACK_WINS/BLACK_WINS
30:222	4	WHITE_WINS/BLACK_WINS
29:221	2	BLACK_WINS/BLACK_WINS
32:224	2	BLACK_WINS/BLACK_WINS
33:225	2	BLACK_WINS/BLACK_WINS
36:228	2	BLACK_WINS/BLACK_WINS
34:226	2	BLACK_WINS/BLACK_WINS
37:229	4	WHITE_WINS/BLACK_WINS
35:227	2	WHITE_WINS/WHITE_WINS
38:230	2	WHITE_WINS/WHITE_WINS
39:231	4	WHITE_WINS/BLACK_WINS
40:232	1	DRAW_FIFTY_MOVE/WHITE_WINS
43:235	4	WHITE_WINS/BLACK_WINS
41:233	2	BLACK_WINS/BLACK_WINS
42:234	4	WHITE_WINS/BLACK_WINS
45:237	3	WHITE_WINS/DRAW_FIFTY_MOVE
44:236	3	WHITE_WINS/DRAW_FIFTY_MOVE
46:238	0	BLACK_WINS/WHITE_WINS
0:240	4	WHITE_WINS/BLACK_WINS
47:239	3	WHITE_WINS/DRAW_FIFTY_MOVE
1:241	0	BLACK_WINS/WHITE_WINS
2:242	1	DRAW_INSUFFICIENT/WHITE_WINS
3:243	3	DRAW_FIFTY_MOVE/BLACK_WINS
4:244	3	DRAW_FIFTY_MOVE/BLACK_WINS
5:245	0	BLACK_WINS/WHITE_WINS
7:247	2	BLACK_WINS/BLACK_WINS
6:246	4	WHITE_WINS/BLACK_WINS
8:248	2	WHITE_WINS/WHITE_WINS
